order_date,order_date_of_month,dow,orders,delivery_fee,restaurant_id,food_price,is_coupon_used,is_bkk,is_chain_res,is_main_dish,CASH,LINEMAN_CREDIT_CARD,RLP,L,M,S,cooking_time_in_seconds_trf,delivery_time_in_seconds_trf,total_time_waiting,%_coupon_used,%_chain_res,%_S_resturant_orders,%_L_resturant_orders,orders_per_rest,%_CASH
1,2,1,364,10.0,78,130.0,31,161,47,279,345.0,0,19,134.0,100.0,130.0,755.0,493.0,1262.0,0.08516483516483517,0.12912087912087913,0.35714285714285715,0.36813186813186816,4.666666666666667,0.9478021978021978
2,3,2,385,10.0,83,145.0,32,169,76,294,359.0,0,26,138.0,111.0,136.0,789.0,509.0,1345.0,0.08311688311688312,0.1974025974025974,0.35324675324675325,0.35844155844155845,4.63855421686747,0.9324675324675324
3,4,3,365,10.0,65,140.0,43,156,64,284,352.0,0,13,129.0,91.0,145.0,788.0,520.0,1385.0,0.1178082191780822,0.17534246575342466,0.3972602739726027,0.35342465753424657,5.615384615384615,0.9643835616438357
4,5,4,373,10.0,77,140.0,32,149,50,298,355.0,0,18,132.0,77.0,164.0,698.0,472.0,1229.0,0.08579088471849866,0.13404825737265416,0.43967828418230565,0.353887399463807,4.8441558441558445,0.9517426273458445
5,6,5,357,10.0,81,130.0,39,135,54,259,336.0,0,21,137.0,79.0,141.0,727.0,524.0,1311.0,0.1092436974789916,0.15126050420168066,0.3949579831932773,0.38375350140056025,4.407407407407407,0.9411764705882353
6,7,6,406,10.0,88,130.5,41,171,76,318,386.0,0,20,105.0,133.0,168.0,715.0,520.5,1323.5,0.10098522167487685,0.18719211822660098,0.41379310344827586,0.25862068965517243,4.613636363636363,0.9507389162561576
7,8,0,343,10.0,69,143.0,30,155,57,276,322.0,0,21,118.0,90.0,135.0,761.0,507.0,1274.5,0.08746355685131195,0.1661807580174927,0.3935860058309038,0.34402332361516036,4.971014492753623,0.9387755102040817
8,9,1,356,10.0,77,130.0,39,147,56,267,336.0,0,20,113.0,92.0,151.0,722.0,508.0,1271.5,0.10955056179775281,0.15730337078651685,0.4241573033707865,0.31741573033707865,4.623376623376624,0.9438202247191011
9,10,2,391,10.0,83,120.0,42,169,60,315,365.0,0,26,115.0,91.0,185.0,690.5,498.0,1227.0,0.10741687979539642,0.1534526854219949,0.4731457800511509,0.29411764705882354,4.710843373493976,0.9335038363171355
10,11,3,331,10.0,83,135.0,35,151,52,256,310.0,0,21,110.0,84.0,137.0,729.5,520.0,1281.0,0.10574018126888217,0.15709969788519637,0.41389728096676737,0.3323262839879154,3.9879518072289155,0.9365558912386707
11,12,4,370,10.0,77,140.0,42,177,64,286,341.0,0,29,123.0,87.0,160.0,731.0,518.0,1284.0,0.11351351351351352,0.17297297297297298,0.43243243243243246,0.3324324324324324,4.805194805194805,0.9216216216216216
12,13,5,403,10.0,76,138.0,35,174,56,318,378.0,0,25,137.0,111.0,155.0,740.0,489.0,1291.0,0.08684863523573201,0.13895781637717122,0.38461538461538464,0.3399503722084367,5.302631578947368,0.9379652605459057
13,14,6,335,10.0,79,128.0,36,136,36,273,320.0,0,15,114.0,86.0,135.0,788.0,445.0,1250.0,0.10746268656716418,0.10746268656716418,0.40298507462686567,0.3402985074626866,4.2405063291139244,0.9552238805970149
14,15,0,338,10.0,70,152.5,46,143,53,262,318.0,0,20,112.0,103.0,123.0,779.5,510.0,1331.5,0.13609467455621302,0.15680473372781065,0.363905325443787,0.33136094674556216,4.828571428571428,0.9408284023668639
15,16,1,374,10.0,80,140.0,39,155,73,282,347.0,0,27,153.0,74.0,147.0,750.5,492.0,1259.5,0.10427807486631016,0.19518716577540107,0.393048128342246,0.4090909090909091,4.675,0.9278074866310161
16,17,2,397,10.0,74,130.0,27,169,54,309,373.0,0,24,133.0,112.0,152.0,740.0,513.0,1255.0,0.06801007556675064,0.13602015113350127,0.38287153652392947,0.3350125944584383,5.364864864864865,0.9395465994962217
17,18,3,348,10.0,74,135.0,28,148,42,249,321.0,0,27,123.0,87.0,138.0,765.0,516.5,1319.0,0.08045977011494253,0.1206896551724138,0.39655172413793105,0.35344827586206895,4.702702702702703,0.9224137931034483
18,19,4,380,10.0,88,126.5,27,160,60,277,351.0,0,29,126.0,83.0,171.0,742.0,484.0,1223.0,0.07105263157894737,0.15789473684210525,0.45,0.33157894736842103,4.318181818181818,0.9236842105263158
19,20,5,375,10.0,82,130.0,34,156,70,281,346.0,0,29,129.0,116.0,130.0,713.5,477.0,1253.5,0.09066666666666667,0.18666666666666668,0.3466666666666667,0.344,4.573170731707317,0.9226666666666666
20,21,6,412,10.0,84,138.5,29,164,50,314,381.0,0,31,154.0,108.0,150.0,727.0,452.0,1226.5,0.0703883495145631,0.12135922330097088,0.3640776699029126,0.3737864077669903,4.904761904761905,0.9247572815533981
21,22,0,383,10.0,76,140.0,45,168,66,291,362.0,0,21,126.0,94.0,163.0,744.0,504.0,1261.0,0.1174934725848564,0.17232375979112272,0.4255874673629243,0.3289817232375979,5.0394736842105265,0.9451697127937336
22,23,1,350,10.0,74,126.5,23,163,60,266,321.0,0,29,107.0,107.0,136.0,726.0,511.5,1282.5,0.06571428571428571,0.17142857142857143,0.38857142857142857,0.3057142857142857,4.72972972972973,0.9171428571428571
23,24,2,355,10.0,78,120.0,20,142,43,256,330.0,0,25,126.0,75.0,154.0,714.5,495.0,1223.5,0.056338028169014086,0.12112676056338029,0.43380281690140843,0.35492957746478876,4.551282051282051,0.9295774647887324
24,25,3,373,10.0,82,120.0,25,162,46,283,346.0,0,27,126.0,78.0,169.0,691.0,461.0,1219.0,0.06702412868632708,0.12332439678284182,0.45308310991957107,0.3378016085790885,4.548780487804878,0.9276139410187667
25,26,4,386,10.0,83,127.5,22,161,61,291,359.0,0,27,105.0,107.0,174.0,695.0,497.0,1231.0,0.05699481865284974,0.15803108808290156,0.45077720207253885,0.27202072538860106,4.650602409638554,0.9300518134715026
26,27,5,359,10.0,81,130.0,25,135,45,276,334.0,0,25,128.0,95.0,136.0,727.0,473.0,1228.0,0.06963788300835655,0.12534818941504178,0.3788300835654596,0.3565459610027855,4.432098765432099,0.9303621169916435
27,28,6,345,10.0,84,125.0,39,154,61,250,324.0,0,21,112.0,94.0,139.0,723.5,476.0,1251.0,0.11304347826086956,0.17681159420289855,0.4028985507246377,0.32463768115942027,4.107142857142857,0.9391304347826087
28,29,0,385,10.0,77,130.0,36,156,55,302,355.0,0,30,132.0,75.0,178.0,725.0,486.0,1224.5,0.09350649350649351,0.14285714285714285,0.4623376623376623,0.34285714285714286,5.0,0.922077922077922
29,30,1,371,10.0,84,135.0,36,163,63,287,349.0,0,22,128.0,88.0,155.0,694.5,502.0,1270.0,0.09703504043126684,0.16981132075471697,0.41778975741239893,0.3450134770889488,4.416666666666667,0.9407008086253369
30,31,2,373,10.0,85,134.0,31,151,48,293,351.0,0,22,129.0,90.0,154.0,712.5,483.0,1255.0,0.08310991957104558,0.128686327077748,0.4128686327077748,0.34584450402144773,4.3882352941176475,0.9410187667560321
