hrs_index,order_hour,order_date_of_month,dow,orders,delivery_fee,restaurant_id,food_price,is_coupon_used,is_bkk,is_chain_res,is_main_dish,CASH,LINEMAN_CREDIT_CARD,RLP,L,M,S,cooking_time_in_seconds_trf,delivery_time_in_seconds_trf,total_time_waiting,%_coupon_used
7,7,2,1,2,5.0,2,115.0,0,1,1,1,1,0,1,1,0,1,664.0,420.5,1084.5,0.0
8,8,2,1,9,0.0,6,80.0,0,5,2,6,7,0,2,1,1,7,541.0,538.0,1214.0,0.0
9,9,2,1,10,0.0,8,125.0,0,3,1,6,10,0,0,0,2,8,758.0,373.0,1026.0,0.0
10,10,2,1,22,10.0,15,120.0,2,11,4,17,21,0,1,9,5,8,629.0,638.5,1221.5,0.09090909090909091
11,11,2,1,46,10.0,26,119.0,5,21,6,38,42,0,4,16,15,15,755.0,522.0,1331.0,0.10869565217391304
12,12,2,1,38,10.0,22,125.0,5,15,5,30,35,0,3,15,6,17,991.5,439.0,1402.0,0.13157894736842105
13,13,2,1,33,10.0,23,123.0,3,16,6,20,32,0,1,7,12,14,615.0,520.0,1072.0,0.09090909090909091
14,14,2,1,26,10.0,16,102.5,0,8,2,17,24,0,2,13,8,5,559.0,472.0,1229.0,0.0
15,15,2,1,20,10.0,15,108.0,2,7,3,11,19,0,1,4,7,9,713.5,548.0,1230.5,0.1
16,16,2,1,24,10.0,20,185.0,2,13,7,22,24,0,0,5,8,11,949.0,530.5,1498.0,0.08333333333333333
17,17,2,1,35,10.0,23,100.0,4,12,4,27,33,0,2,20,9,6,811.0,495.0,1333.0,0.11428571428571428
18,18,2,1,43,10.0,25,154.0,6,17,5,31,43,0,0,22,11,10,781.0,478.0,1251.0,0.13953488372093023
19,19,2,1,22,0.0,16,172.0,2,11,1,19,22,0,0,7,4,11,810.0,391.5,1180.0,0.09090909090909091
20,20,2,1,24,0.0,12,137.5,0,14,0,24,23,0,1,7,11,6,844.5,453.5,1302.0,0.0
21,21,2,1,10,10.0,5,207.5,0,7,0,10,9,0,1,7,1,2,769.5,558.5,1467.5,0.0
31,7,3,2,2,5.5,2,129.5,0,0,0,2,2,0,0,1,0,1,699.5,430.5,1130.0,0.0
32,8,3,2,12,10.0,9,100.0,1,2,2,6,10,0,2,3,1,8,574.0,519.0,980.0,0.08333333333333333
33,9,3,2,12,5.0,8,154.5,0,3,0,9,11,0,1,4,2,6,584.0,549.5,1165.0,0.0
34,10,3,2,34,10.0,21,122.5,2,14,2,30,30,0,4,12,9,13,719.0,575.5,1178.0,0.058823529411764705
