week_index,orders,delivery_fee,restaurant_id,food_price,is_coupon_used,is_bkk,is_chain_res,is_main_dish,CASH,LINEMAN_CREDIT_CARD,RLP,L,M,S,cooking_time_in_seconds_trf,delivery_time_in_seconds_trf,total_time_waiting
1.0,2250,10.0,106,135.0,218,941,367,1732,2133.0,0.0,117.0,775.0,591.0,884.0,749.0,512.0,1298.5
2.0,2529,10.0,109,130.0,259,1109,381,1991,2372.0,0.0,157.0,830.0,641.0,1058.0,733.0,497.0,1264.0
3.0,2624,10.0,114,138.0,230,1095,402,1974,2437.0,0.0,187.0,930.0,683.0,1011.0,742.0,493.0,1264.0
4.0,2551,10.0,116,129.0,199,1085,382,1913,2376.0,0.0,175.0,830.0,650.0,1071.0,719.0,490.5,1243.0
5.0,2507,10.0,119,138.0,286,1151,384,1859,2325.0,0.0,182.0,801.0,614.0,1092.0,697.5,504.0,1253.0
6.0,2493,10.0,120,140.0,290,1191,379,1834,2291.0,0.0,202.0,681.0,690.0,1122.0,670.0,515.0,1238.0
7.0,2734,10.0,125,130.0,342,1331,328,2080,2478.0,0.0,256.0,792.0,675.0,1267.0,693.0,508.0,1253.0
8.0,2612,10.0,119,125.0,298,1274,327,1975,2391.0,0.0,221.0,759.0,655.0,1198.0,678.0,505.0,1225.5
9.0,2970,10.0,129,130.0,311,1484,555,2095,2685.0,0.0,285.0,811.0,777.0,1382.0,744.5,502.0,1301.0
10.0,2877,10.0,129,132.0,336,1435,437,2023,2572.0,0.0,305.0,807.0,898.0,1172.0,712.0,520.0,1273.5
11.0,3082,10.0,130,130.0,309,1465,364,2338,2721.0,9.0,352.0,899.0,841.0,1342.0,697.0,507.5,1245.0
12.0,3212,10.0,135,120.0,328,1533,368,2490,2816.0,72.0,324.0,821.0,906.0,1485.0,677.0,509.0,1233.0
13.0,3158,10.0,134,120.0,263,1467,346,2443,2726.0,104.0,328.0,838.0,792.0,1528.0,683.0,492.0,1226.0
14.0,3411,10.0,138,120.0,1753,1622,418,2567,2965.0,119.0,327.0,982.0,814.0,1615.0,714.5,504.0,1258.5
15.0,3480,10.0,137,119.0,3476,1693,516,2695,2937.0,175.0,368.0,1075.0,851.0,1554.0,699.0,486.0,1232.0
16.0,3469,10.0,143,116.0,3468,1862,640,2603,2916.0,199.0,354.0,1029.0,958.0,1482.0,691.0,495.0,1245.0
17.0,3920,10.0,139,110.0,3907,2133,870,2748,3300.0,248.0,372.0,1104.0,989.0,1827.0,681.0,490.0,1231.0
18.0,3959,10.0,145,120.0,3879,2023,738,3063,3242.0,302.0,415.0,1274.0,1027.0,1658.0,715.0,490.0,1254.0
19.0,3854,10.0,143,120.0,3779,1964,662,3057,3155.0,326.0,373.0,1236.0,1021.0,1597.0,726.0,489.0,1259.0
20.0,3567,10.0,144,122.0,3492,1805,619,2747,2888.0,315.0,364.0,1085.0,967.0,1515.0,697.5,485.0,1224.5
21.0,3797,10.0,139,125.0,3736,2055,726,2959,3052.0,335.0,410.0,1164.0,1012.0,1621.0,692.0,474.0,1213.0
22.0,3540,5.0,143,120.5,3471,1938,603,2757,2839.0,362.0,339.0,1103.0,1021.0,1416.0,700.0,465.0,1228.0
23.0,3883,10.0,144,125.0,3846,2120,770,2967,3116.0,379.0,388.0,1223.0,1196.0,1464.0,707.0,479.0,1232.0
24.0,3521,10.0,146,120.0,3506,1930,729,2654,2844.0,306.0,371.0,1095.0,1143.0,1283.0,700.5,459.0,1195.0
25.0,3128,10.0,144,130.0,3104,1715,568,2374,2541.0,317.0,270.0,1049.0,934.0,1145.0,708.0,455.0,1212.0
26.0,3167,10.0,142,125.0,3151,1682,527,2453,2573.0,317.0,277.0,1063.0,879.0,1225.0,710.0,452.0,1194.0
27.0,3038,5.0,153,139.0,3007,1650,526,2275,2432.0,330.0,276.0,1043.0,865.0,1130.0,699.0,458.0,1188.5
28.0,3199,5.0,152,135.0,3165,1883,737,2391,2546.0,354.0,299.0,1143.0,1031.0,1025.0,721.0,458.0,1224.0
29.0,3319,5.0,148,135.0,3273,1997,757,2460,2617.0,386.0,316.0,1137.0,1089.0,1093.0,745.0,461.0,1246.0
30.0,3503,10.0,155,140.0,3431,2084,788,2603,2804.0,386.0,313.0,1223.0,1166.0,1114.0,749.0,460.0,1271.0
31.0,3801,10.0,148,150.0,3673,2275,839,2840,3064.0,402.0,335.0,1394.0,1256.0,1151.0,776.0,448.5,1277.0
32.0,4092,10.0,156,140.0,4018,2490,770,3015,3236.0,489.0,367.0,1493.0,1195.0,1404.0,728.0,446.0,1223.0
33.0,3791,10.0,159,140.0,3751,2152,646,2820,2911.0,496.0,384.0,1356.0,1110.0,1325.0,700.0,442.0,1195.0
34.0,3758,10.0,158,140.0,3706,2046,588,2739,2862.0,513.0,383.0,1297.0,1081.0,1380.0,691.0,432.0,1161.0
35.0,4166,10.0,160,140.0,4126,2361,651,3044,3239.0,527.0,400.0,1467.0,1194.0,1505.0,692.0,445.0,1168.0
36.0,3961,5.0,159,140.0,3931,2224,570,2878,3136.0,495.0,330.0,1487.0,1077.0,1397.0,692.0,455.0,1181.5
37.0,4280,0.0,160,139.0,4193,2459,618,3130,3337.0,556.0,387.0,1515.0,1269.0,1496.0,661.0,494.0,1203.0
38.0,4089,5.0,162,138.0,3966,2265,557,3021,3151.0,555.0,383.0,1439.0,1161.0,1489.0,663.0,475.0,1184.0
